Index,ItemID,OriginalName,Name,Chassis,Tonnage,Class,Type
1,1,hbk-4g,HBK-4G,HBK,50,MEDIUM,NORMAL
2,2,hbk-4p,HBK-4P,HBK,50,MEDIUM,NORMAL
3,3,jr7-d,JR7-D,JR7,35,LIGHT,NORMAL
4,4,jr7-f,JR7-F,JR7,35,LIGHT,NORMAL
5,5,com-2d,COM-2D,COM,25,LIGHT,NORMAL
6,6,com-3a,COM-3A,COM,25,LIGHT,NORMAL
7,7,cn9-a,CN9-A,CN9,50,MEDIUM,NORMAL
8,8,cn9-ah,CN9-AH,CN9,50,MEDIUM,NORMAL
9,9,hbk-4h,HBK-4H,HBK,50,MEDIUM,NORMAL
10,10,drg-1n,DRG-1N,DRG,60,HEAVY,NORMAL
11,11,drg-1c,DRG-1C,DRG,60,HEAVY,NORMAL
12,12,cplt-c1,CPLT-C1,CPLT,65,HEAVY,NORMAL
13,13,cplt-a1,CPLT-A1,CPLT,65,HEAVY,NORMAL
14,14,aws-8q,AWS-8Q,AWS,80,ASSAULT,NORMAL
15,15,aws-8r,AWS-8R,AWS,80,ASSAULT,NORMAL
16,16,as7-d,AS7-D,AS7,100,ASSAULT,NORMAL
17,17,as7-d-dc,AS7-D-DC,AS7,100,ASSAULT,NORMAL
18,18,as7-rs,AS7-RS,AS7,100,ASSAULT,NORMAL
19,19,cplt-k2,CPLT-K2,CPLT,65,HEAVY,NORMAL
20,20,jr7-k,JR7-K,JR7,35,LIGHT,NORMAL
21,21,hbk-4j,HBK-4J,HBK,50,MEDIUM,NORMAL
22,22,hbk-4sp,HBK-4SP,HBK,50,MEDIUM,NORMAL
23,23,drg-5n,DRG-5N,DRG,60,HEAVY,NORMAL
24,24,cplt-c4,CPLT-C4,CPLT,65,HEAVY,NORMAL
25,25,as7-k,AS7-K,AS7,100,ASSAULT,NORMAL
26,26,com-1b,COM-1B,COM,25,LIGHT,NORMAL
27,27,com-1d,COM-1D,COM,25,LIGHT,NORMAL
28,28,cn9-al,CN9-AL,CN9,50,MEDIUM,NORMAL
29,29,cn9-d,CN9-D,CN9,50,MEDIUM,NORMAL
30,30,aws-8t,AWS-8T,AWS,80,ASSAULT,NORMAL
31,31,aws-8v,AWS-8V,AWS,80,ASSAULT,NORMAL
32,32,aws-9m,AWS-9M,AWS,80,ASSAULT,NORMAL
33,33,rvn-3l,RVN-3L,RVN,35,LIGHT,NORMAL
34,34,rvn-2x,RVN-2X,RVN,35,LIGHT,NORMAL
35,35,rvn-4x,RVN-4X,RVN,35,LIGHT,NORMAL
36,36,cda-3m,CDA-3M,CDA,40,MEDIUM,NORMAL
37,37,cda-2a,CDA-2A,CDA,40,MEDIUM,NORMAL
38,38,cda-2b,CDA-2B,CDA,40,MEDIUM,NORMAL
39,39,cda-3c,CDA-3C,CDA,40,MEDIUM,NORMAL
40,40,ctf-3d,CTF-3D,CTF,70,HEAVY,NORMAL
41,41,ctf-1x,CTF-1X,CTF,70,HEAVY,NORMAL
42,42,ctf-2x,CTF-2X,CTF,70,HEAVY,NORMAL
43,43,ctf-3l,CTF-3L,CTF,70,HEAVY,NORMAL
44,44,ctf-4x,CTF-4X,CTF,70,HEAVY,NORMAL
45,45,cn9-ylw,CN9-YLW,CN9,50,MEDIUM,HERO
46,46,stk-5m,STK-5M,STK,85,ASSAULT,NORMAL
47,47,stk-3f,STK-3F,STK,85,ASSAULT,NORMAL
48,48,stk-3h,STK-3H,STK,85,ASSAULT,NORMAL
49,49,stk-4n,STK-4N,STK,85,ASSAULT,NORMAL
50,50,stk-5s,STK-5S,STK,85,ASSAULT,NORMAL
51,51,sdr-5v,SDR-5V,SDR,30,LIGHT,NORMAL
52,52,sdr-5d,SDR-5D,SDR,30,LIGHT,NORMAL
53,53,sdr-5k,SDR-5K,SDR,30,LIGHT,NORMAL
54,54,ctf-im,CTF-IM,CTF,70,HEAVY,HERO
55,55,drg-fang,DRG-FANG,DRG,60,HEAVY,HERO
56,56,drg-flame,DRG-FLAME,DRG,60,HEAVY,HERO
57,57,com-tdk,COM-TDK,COM,25,LIGHT,HERO
58,58,aws-pb,AWS-PB,AWS,80,ASSAULT,HERO
59,59,tbt-7m,TBT-7M,TBT,50,MEDIUM,NORMAL
60,60,tbt-3c,TBT-3C,TBT,50,MEDIUM,NORMAL
61,61,tbt-5j,TBT-5J,TBT,50,MEDIUM,NORMAL
62,62,tbt-5n,TBT-5N,TBT,50,MEDIUM,NORMAL
63,63,tbt-7k,TBT-7K,TBT,50,MEDIUM,NORMAL
64,64,cda-x5,CDA-X5,CDA,40,MEDIUM,HERO
65,65,jm6-dd,JM6-DD,JM6,65,HEAVY,NORMAL
66,66,jm6-a,JM6-A,JM6,65,HEAVY,NORMAL
67,67,jm6-s,JM6-S,JM6,65,HEAVY,NORMAL
68,69,hgn-hm,HGN-HM,HGN,90,ASSAULT,HERO
69,70,hgn-732,HGN-732,HGN,90,ASSAULT,NORMAL
70,71,hgn-733,HGN-733,HGN,90,ASSAULT,NORMAL
71,72,hgn-733c,HGN-733C,HGN,90,ASSAULT,NORMAL
72,73,hgn-733p,HGN-733P,HGN,90,ASSAULT,NORMAL
73,74,drg-5nc,DRG-5N,DRG,60,HEAVY,NORMAL
74,75,stk-m,STK-M,STK,85,ASSAULT,HERO
75,76,jr7-fc,JR7-F,JR7,35,LIGHT,NORMAL
76,77,bj-1,BJ-1,BJ,45,MEDIUM,NORMAL
77,78,bj-1dc,BJ-1DC,BJ,45,MEDIUM,NORMAL
78,79,bj-1x,BJ-1X,BJ,45,MEDIUM,NORMAL
79,80,bj-3,BJ-3,BJ,45,MEDIUM,NORMAL
80,81,jm6-fb,JM6-FB,JM6,65,HEAVY,HERO
81,82,qkd-4g,QKD-4G,QKD,60,HEAVY,NORMAL
82,83,qkd-4h,QKD-4H,QKD,60,HEAVY,NORMAL
83,84,qkd-5k,QKD-5K,QKD,60,HEAVY,NORMAL
84,85,hbk-4pc,HBK-4P,HBK,50,MEDIUM,NORMAL
85,86,jr7-ds,JR7-D,JR7,35,LIGHT,NORMAL
86,87,vtr-ds,VTR-DS,VTR,80,ASSAULT,HERO
87,88,vtr-9k,VTR-9K,VTR,80,ASSAULT,NORMAL
88,89,vtr-9b,VTR-9B,VTR,80,ASSAULT,NORMAL
89,90,vtr-9s,VTR-9S,VTR,80,ASSAULT,NORMAL
90,91,cplt-a1c,CPLT-A1,CPLT,65,HEAVY,NORMAL
91,92,as7-rsc,AS7-RS,AS7,100,ASSAULT,NORMAL
92,93,kto-gb,KTO-GB,KTO,55,MEDIUM,HERO
93,94,kto-20,KTO-20,KTO,55,MEDIUM,NORMAL
94,95,kto-18,KTO-18,KTO,55,MEDIUM,NORMAL
95,96,kto-19,KTO-19,KTO,55,MEDIUM,NORMAL
96,97,on1-p,ON1-P,ON1,75,HEAVY,HERO
97,98,on1-m,ON1-M,ON1,75,HEAVY,NORMAL
98,99,on1-k,ON1-K,ON1,75,HEAVY,NORMAL
99,100,on1-v,ON1-V,ON1,75,HEAVY,NORMAL
100,101,on1-va,ON1-VA,ON1,75,HEAVY,NORMAL
101,102,cn9-ac,CN9-A,CN9,50,MEDIUM,NORMAL
102,103,as7-bh,AS7-BH,AS7,100,ASSAULT,HERO
103,104,sdr-5kc,SDR-5K,SDR,30,LIGHT,NORMAL
104,105,lct-1vp,LCT-1V,LCT,20,LIGHT,NORMAL
105,106,lct-1v,LCT-1V,LCT,20,LIGHT,NORMAL
106,107,lct-3m,LCT-3M,LCT,20,LIGHT,NORMAL
107,108,lct-3s,LCT-3S,LCT,20,LIGHT,NORMAL
108,109,shd-2hp,SHD-2H,SHD,55,MEDIUM,NORMAL
109,110,shd-2h,SHD-2H,SHD,55,MEDIUM,NORMAL
110,111,shd-2d2,SHD-2D2,SHD,55,MEDIUM,NORMAL
111,112,shd-5m,SHD-5M,SHD,55,MEDIUM,NORMAL
112,113,tdr-5sp,TDR-5S,TDR,65,HEAVY,NORMAL
113,114,tdr-5s,TDR-5S,TDR,65,HEAVY,NORMAL
114,115,tdr-5ss,TDR-5SS,TDR,65,HEAVY,NORMAL
115,116,tdr-9se,TDR-9SE,TDR,65,HEAVY,NORMAL
116,117,blr-1gp,BLR-1G,BLR,85,ASSAULT,NORMAL
117,118,blr-1g,BLR-1G,BLR,85,ASSAULT,NORMAL
118,119,blr-1d,BLR-1D,BLR,85,ASSAULT,NORMAL
119,120,blr-1s,BLR-1S,BLR,85,ASSAULT,NORMAL
120,121,cplt-j,CPLT-J,CPLT,65,HEAVY,HERO
121,122,bj-1c,BJ-1,BJ,45,MEDIUM,NORMAL
